,lemma
0,the
1,be
2,and
3,a
4,of
5,to
6,in
7,i
8,you
9,it
10,have
11,to
12,that
13,for
14,do
15,he
16,with
17,on
18,this
19,n't
20,we
21,that
22,not
23,but
24,they
25,say
26,at
27,what
28,his
29,from
30,go
31,or
32,by
33,get
34,she
35,my
36,can
37,as
38,know
39,if
40,me
41,your
42,all
43,who
44,about
45,their
46,will
47,so
48,would
49,make
50,just
51,up
52,think
53,time
54,there
55,see
56,her
57,as
58,out
59,one
60,come
61,people
62,take
63,year
64,him
65,them
66,some
67,want
68,how
69,when
70,which
71,now
72,like
73,other
74,could
75,our
76,into
77,here
78,then
79,than
80,look
81,way
82,more
83,these
84,no
85,thing
86,well
87,because
88,also
89,two
90,use
91,tell
92,good
93,first
94,man
95,day
96,find
97,give
98,more
99,new
100,one
101,us
102,any
103,those
104,very
105,her
106,need
107,back
108,there
109,should
110,even
111,only
112,many
113,really
114,work
115,life
116,why
117,right
118,down
119,on
120,try
121,let
122,something
123,too
124,call
125,woman
126,may
127,still
128,through
129,mean
130,after
131,never
132,no
133,world
134,in
135,feel
136,yeah
137,great
138,last
139,child
140,oh
141,over
142,ask
143,when
144,as
145,school
146,state
147,much
148,talk
149,out
150,keep
151,leave
152,put
153,like
154,help
155,big
156,where
157,same
158,all
159,own
160,while
161,start
162,three
163,high
164,every
165,another
166,become
167,most
168,between
169,happen
170,family
171,over
172,president
173,old
174,yes
175,house
176,show
177,again
178,student
179,so
180,seem
181,might
182,part
183,hear
184,its
185,place
186,problem
187,where
188,believe
189,country
190,always
191,week
192,point
193,hand
194,off
195,play
196,turn
197,few
198,group
199,such
200,against
201,run
202,guy
203,about
204,case
205,question
206,work
207,night
208,live
209,game
210,number
211,write
212,bring
213,without
214,money
215,lot
216,most
217,book
218,system
219,government
220,next
221,city
222,company
223,story
224,today
225,job
226,move
227,must
228,bad
229,friend
230,during
231,begin
232,love
233,each
234,hold
235,different
236,american
237,little
238,before
239,ever
240,word
241,fact
242,right
243,read
244,anything
245,nothing
246,sure
247,small
248,month
249,program
250,maybe
251,right
252,under
253,business
254,home
255,kind
256,stop
257,pay
258,study
259,since
260,issue
261,name
262,idea
263,room
264,percent
265,far
266,away
267,law
268,actually
269,large
270,though
271,provide
272,lose
273,power
274,kid
275,war
276,understand
277,head
278,mother
279,real
280,best
281,team
282,eye
283,long
284,long
285,side
286,water
287,young
288,wait
289,okay
290,both
291,yet
292,after
293,meet
294,service
295,area
296,important
297,person
298,hey
299,thank
300,much
301,someone
302,end
303,change
304,however
305,only
306,around
307,hour
308,everything
309,national
310,four
311,line
312,girl
313,around
314,watch
315,until
316,father
317,sit
318,create
319,information
320,car
321,learn
322,least
323,already
324,kill
325,minute
326,party
327,include
328,stand
329,together
330,back
331,follow
332,health
333,remember
334,often
335,reason
336,speak
337,ago
338,set
339,black
340,member
341,community
342,once
343,social
344,news
345,allow
346,win
347,body
348,lead
349,continue
350,whether
351,enough
352,spend
353,level
354,able
355,political
356,almost
357,boy
358,university
359,before
360,stay
361,add
362,later
363,change
364,five
365,probably
366,center
367,among
368,face
369,public
370,die
371,food
372,else
373,history
374,buy
375,result
376,morning
377,off
378,parent
379,office
380,course
381,send
382,research
383,walk
384,door
385,white
386,several
387,court
388,home
389,grow
390,better
391,open
392,moment
393,including
394,consider
395,both
396,such
397,little
398,within
399,second
400,late
401,street
402,free
403,better
404,everyone
405,policy
406,table
407,sorry
408,care
409,low
410,human
411,please
412,hope
413,TRUE
414,process
415,teacher
416,data
417,offer
418,death
419,whole
420,experience
421,plan
422,easy
423,education
424,build
425,expect
426,fall
427,himself
428,age
429,hard
430,sense
431,across
432,show
433,early
434,college
435,music
436,appear
437,mind
438,class
439,police
440,use
441,effect
442,season
443,tax
444,heart
445,son
446,art
447,possible
448,serve
449,break
450,although
451,end
452,market
453,even
454,air
